
Year   Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1978   43.700   43.700   48.900   46.200   53.700   60.700   67.100   66.700   60.400   57.400   42.400   36.000
1979   37.800   40.400   45.800   47.200   55.700   60.800   67.200   65.400   65.800   56.500   43.900   41.600
1980   41.000   45.300   43.200   48.800   52.700   57.000   67.300   65.200   62.800   56.100   45.800   42.100
1981   43.300   43.600   44.600   49.400   54.200   62.500   66.700   68.000   63.500   52.000   47.200   43.600
1982   36.400   41.800   42.000   45.100   54.600   59.900   65.100   66.500   61.000   53.600   42.700   39.300
1983   41.100   43.500   44.300   44.900   54.800   59.700   64.000   67.200   63.600   56.100   44.400   41.300
1984   41.500   41.900   47.000   46.000   55.000   59.200   69.000   67.200   63.700   51.300   42.900   37.500
1985   39.200   41.900   41.500   51.600   53.500   63.800   69.400   65.300   59.200   53.400   39.800   39.400
1986   44.700   45.300   48.800   48.400   54.100   63.700   65.600   69.100   58.300   55.300   46.400   41.000
1987   39.100   42.800   44.400   52.500   57.400   63.200   63.800   67.800   63.100   59.100   46.100   39.200
1988   39.300   44.600   46.300   49.800   52.200   59.700   69.600   68.000   63.700   58.900   45.000   39.300
1989   37.900   36.800   44.400   52.500   53.600   61.500   64.900   65.200   61.800   53.300   46.400   41.000
1990   39.900   38.200   46.100   52.800   52.400   60.100   68.800   67.100   64.400   54.900   44.100   33.900
1991   40.300   47.000   41.000   46.400   51.000   57.800   68.800   66.600   67.000   58.600   46.800   40.100
1992   40.700   45.600   48.200   52.000   60.800   62.700   67.300   68.800   63.700   57.200   45.300   37.400
1993   37.300   39.800   48.000   47.500   54.500   59.600   63.500   65.800   63.300   56.500   43.500   39.500
1994   42.100   40.200   47.500   49.900   55.300   60.200   68.900   66.400   64.400   53.500   38.300   38.000
1995   42.900   47.500   43.700   46.800   54.000   59.000   66.400   65.600   64.600   55.700   50.200   43.500
1996   41.300   44.600   46.800   49.500   53.600   61.100   70.300   68.600   61.600   54.200   46.700   42.200
1997   40.900   42.600   47.000   48.900   59.400   59.900   67.100   67.100   63.500   53.100   47.200   39.900
1998   42.400   40.600   44.900   47.200   49.200   59.800   68.400   69.500   65.100   52.600   43.800   37.400
1999   40.500   38.800   41.600   47.100   52.600   59.500   65.200   65.900   64.700   56.800   48.000   41.000
2000   40.900   43.500   45.000   51.200   54.500   63.900   65.400   67.200   63.000   53.600   42.400   42.000
2001   39.800   40.000   47.800   46.000   60.400   60.800   66.900   68.200   64.000   57.200   46.000   40.400
2002   39.000   44.200   43.700   50.000   53.800   62.200   69.600   67.300   64.300   54.700   47.700   41.700
2003   46.200   42.400   46.500   43.900   54.200   63.900   70.400   67.500   65.900   58.200   42.600   40.900
2004   40.500   41.800   50.600   51.400   55.300   62.300   69.000   68.700   62.800   53.700   44.800   41.900
2005   40.700   44.400   47.700   47.400   54.600   57.700   69.800   68.800   60.800   54.000   45.400   41.900
2006   41.100   42.800   39.600   47.800   56.500   64.300   70.700   66.500   63.200   54.000   45.200   40.700
2007   38.400   41.700   48.700   49.400   56.500   61.100   68.800   67.700   61.500   51.800   47.000   37.800
2008   37.300   41.500   43.400   46.400   55.600   61.100   68.000   68.200   65.400   55.400   48.500   38.000
2009   42.700   41.400   43.800   48.500   57.400   61.200   69.200   67.600   66.000   53.100   44.700   38.200
2010   43.100   43.800   44.200   45.100   49.500   60.000   68.200   66.300   63.500   55.400   43.800   41.800
2011   42.500   39.900   42.800   45.700   50.500   58.800   65.900   67.300   66.100   55.200   43.900   39.600
2012   41.300   42.100   42.100   49.000   55.200   59.100   66.800   69.800   65.900   56.600   47.500   38.800
2013   38.900   41.800   47.200   51.400   56.400   63.400   70.900   67.600   62.300   53.200   47.500   39.100
2014   44.900   44.200   47.900   51.600   57.400   63.200   71.700   69.100   65.800   58.000   48.200   44.400
2015   46.200   48.400   51.300   50.300   56.100   67.500   69.800   68.700   63.800   60.300   43.700   39.400
2016   41.700   47.100   46.700   53.200   57.100   63.800   67.800   69.400   63.300   52.800   47.900   37.900
2017   37.900   42.400   47.100   47.700   57.200   63.700   70.400   71.700   64.800   55.300   46.000   41.600
2018   43.900   41.900   43.800   49.400   57.300   62.600   71.100   68.200   62.900   56.000   47.700   40.800
2019   43.500   36.700   44.300   52.100   54.800   63.700   67.400   69.800   61.700   52.900   48.800   41.800
2020   41.600   45.200   43.900   52.100   56.300   62.800   69.000   71.300   67.500   60.600   45.300   41.700
2021   41.800   42.000   43.600   51.800   57.300   66.400   72.400   69.500   64.800   53.000   47.900   39.300
